fraktion,redner_id,vorname,nachname,anzahl_reden,wortanzahl_gesamt
AfD,11004678,Stephan,Brandner,184,67520
AfD,11004731,Kay,Gottschalk,86,50701
AfD,11004781,Norbert,Kleinwächter,72,37419
AfD,11004752,Karsten,Hilse,81,35945
AfD,11004695,Tino,Chrupalla,36,35244
AfD,11004792,Rainer,Kraft,90,35069
AfD,11004892,Martin,Sichert,82,32337
AfD,11004722,Götz,Frömming,59,31143
AfD,11004698,Gottfried,Curio,61,30510
AfD,11004791,Steffen,Kotré,66,29806
AfD,11005091,Gerrit,Huy,56,26804
AfD,11004873,Ulrike,Schielke-Ziesing,41,26514
AfD,11004669,Marc,Bernhard,66,26382
AfD,11004675,Peter,Boehringer,51,26175
AfD,11004711,Michael,Espendiller,38,25078
AfD,11004753,Nicole,Höchst,58,23025
AfD,11004761,Leif-Erik,Holm,42,22736
AfD,11004905,Beatrix,von Storch,73,22721
AfD,11004930,Alice,Weidel,23,22631
AfD,11004787,Enrico,Komning,49,22506
AfD,11005203,Bernd,Schattner,39,21884
AfD,11004662,Bernd,Baumann,43,21615
AfD,11004767,Fabian,Jacobi,46,21439
AfD,11004933,Wolfgang,Wiehle,46,20923
AfD,11004899,Dirk,Spaniel,42,20220
AfD,11004768,Marc,Jongen,36,20012
AfD,11004778,Stefan,Keuter,41,19711
AfD,11004680,Jürgen,Braun,43,19534
AfD,11005264,Joachim,Wundrak,38,19287
AfD,11004859,Martin,Reichardt,65,18352
AfD,11004749,Martin,Hess,37,18312
AfD,11005066,Hannes,Gnauck,34,17992
AfD,11004788,Jörn,König,37,17636
AfD,11005099,Malte,Kaufmann,44,17565
AfD,11005232,Klaus,Stöber,35,17323
AfD,11004727,Albrecht,Glaser,35,17062
AfD,11005020,Roger,Beckamp,39,17042
AfD,11004891,Thomas,Seitz,32,16969
AfD,11004936,Christian,Wirth,34,16888
AfD,11004721,Markus,Frohnmaier,43,16029
AfD,11004674,Andreas,Bleck,34,16013
AfD,11004900,René,Springer,34,15783
