politician_id,name,party,occupation,year_of_birth,field_title,sex,education
78869,Ursula Groden-Kranich,CDU/CSU,MdB,1965.0,,f,Bankkauffrau
175585,Johannes F. Kretschmann,BÜNDNIS 90/­DIE GRÜNEN,,1978.0,,m,"M.A. Religionswissenschaft, Rumänistik und Linguistik"
175520,Lucia Schanbacher,SPD,MdB,1989.0,,f,Sozialwissenschaftlerin
79255,Uwe Kekeritz,BÜNDNIS 90/­DIE GRÜNEN,MdB,1953.0,,m,Volkswirt
175752,Julian Simon Grünke,FDP,,1995.0,,m,Studium der Politikwissenschaft und Betriebswirtschaftslehre
175942,Manfred Schiller,AfD,,1961.0,,m,Radio- und Fernsehtechniker
122121,Volker Münz,AfD,MdB,1964.0,,m,Diplom-Ökonom
147459,Fabian Griewel,FDP,MdB,1997.0,,m,Geograph und Historiker
78922,Ingo Wellenreuther,CDU/CSU,Mitglied des Deutschen Bundestages,1959.0,,m,Vorsitzender Richter am Landgericht a.D.
175432,Heike Heubach,SPD,MdB,1979.0,,f,Industriekauffrau
146135,Jörg Cezanne,Die Linke.,Mitglied des Bundestags,1958.0,,m,Soziologe
180762,Angela Hohmann,SPD,,1963.0,,f,Sozialversicherungsfachangestellte
145961,Franziska Krumwiede-Steiner,BÜNDNIS 90/­DIE GRÜNEN,MdB,1985.0,Dr.,f,Dr. phil.
175589,Jürgen Kretz,BÜNDNIS 90/­DIE GRÜNEN,MdB,1982.0,,m,Politikwissenschaftler
175477,Nadine Ruf,SPD,Geschäftsführerin der Arbeitsgemeinschaft der Ausländerbeiräte Hessen,1978.0,,f,Diplom-Betriebswirtin
145886,Bettina Wiesmann,CDU/CSU,MdB,1966.0,,f,
145889,Astrid Mannes,CDU/CSU,MdB,1967.0,Dr.,f,"Magister in den Fächern Geschichte, Politikwissenschaft und Öffentliches Recht"
79073,Martin Rabanus,SPD,MdB,1971.0,,m,Ministerialrat
136239,Ottmar von Holtz,BÜNDNIS 90/­DIE GRÜNEN,MdB,1961.0,,m,Diplom-Ökonom
79254,Stefan Kaufmann,CDU/CSU,MdB,1969.0,,m,Rechtsanwalt
