politician_id,poll_id,answer
79041,6422,no
175403,6422,yes
182827,6422,yes
183503,6422,no
175876,6422,yes
175914,6422,no
78902,6422,yes
145878,6422,yes
145732,6422,no
78904,6422,yes
183257,6422,no_show
178558,6422,no
178644,6422,no
130692,6422,yes
149653,6422,yes
66277,6422,no
133683,6422,yes
135302,6422,no
150296,6422,no
146013,6422,no
142259,6422,yes
78916,6422,yes
182855,6422,yes
78914,6422,yes
182209,6422,no
78913,6422,yes
175862,6422,yes
145806,6422,no
175895,6422,yes
78817,6422,yes
175968,6422,no
175867,6422,yes
175015,6422,no
78919,6422,yes
175947,6422,no
108379,6422,no
175409,6422,yes
78805,6422,yes
165836,6422,yes
175464,6422,yes
182890,6422,yes
175309,6422,no
175584,6422,no
175410,6422,yes
145969,6422,no
146020,6422,no
78818,6422,yes
184332,6422,no
78938,6422,yes
178590,6422,no
29202,6422,no
78939,6422,yes
78819,6422,no_show
146784,6422,yes
183219,6422,no_show
182876,6422,yes
170273,6422,no
145876,6422,yes
182935,6422,yes
145877,6422,yes
78944,6422,no
31073,6422,no
178606,6422,yes
78952,6422,no
183231,6422,no
183483,6422,no
175599,6422,no
175419,6422,yes
175394,6422,yes
180245,6422,no
78821,6422,yes
175351,6422,no_show
136824,6422,yes
78958,6422,yes
108605,6422,yes
178690,6422,no
78960,6422,yes
158687,6422,yes
138346,6422,yes
181949,6422,no
175538,6422,no
158594,6422,no
182828,6422,yes
175594,6422,no
175488,6422,abstain
177578,6422,yes
182851,6422,yes
182862,6422,yes
175953,6422,no_show
78976,6422,yes
78979,6422,yes
175972,6422,no
164996,6422,no
78797,6422,yes
182839,6422,yes
183064,6422,no
139062,6422,yes
78981,6422,yes
78988,6422,yes
66475,6422,no
183211,6422,no
145898,6422,yes
78996,6422,yes
145723,6422,no
78993,6422,yes
78992,6422,yes
164992,6422,no_show
145888,6422,yes
78831,6422,yes
145823,6422,no
175519,6422,yes
182873,6422,yes
183482,6422,no
78825,6422,yes
176316,6422,no
180854,6422,no
79001,6422,yes
79000,6422,yes
78999,6422,no_show
78998,6422,yes
131019,6422,yes
145770,6422,no
182848,6422,yes
175905,6422,no
183275,6422,no
183529,6422,no
121738,6422,yes
170151,6422,no
108783,6422,yes
29441,6422,yes
175370,6422,no_show
158733,6422,no
66924,6422,yes
78836,6422,yes
176576,6422,no
79014,6422,yes
140944,6422,yes
121977,6422,no
182821,6422,yes
108815,6422,no
145768,6422,no
152755,6422,no_show
66004,6422,yes
79036,6422,yes
108960,6422,yes
141311,6422,yes
175286,6422,no
175942,6422,no
180235,6422,no
168672,6422,no
123546,6422,no
175017,6422,no
170325,6422,yes
175956,6422,no
79023,6422,yes
79021,6422,no
175522,6422,yes
175904,6422,no
175649,6422,no
175580,6422,no_show
182856,6422,yes
184320,6422,no
79032,6422,yes
79051,6422,yes
79047,6422,yes
145843,6422,no
182913,6422,yes
79046,6422,no
183489,6422,no
175502,6422,yes
73300,6422,yes
145872,6422,yes
182949,6422,yes
79043,6422,yes
165158,6422,no
182900,6422,yes
146839,6422,yes
30936,6422,yes
79066,6422,yes
146806,6422,yes
183055,6422,no
181741,6422,no
121673,6422,no
180856,6422,no
146043,6422,no
149570,6422,no
175869,6422,yes
182905,6422,yes
150298,6422,no_show
175940,6422,no
130301,6422,yes
