fraktion,wort,tfidf,rang
AfD,alternativ deutschland,0.000133,1
AfD,links-grünen,0.000118,2
AfD,afd-regierung,0.000118,3
AfD,links vorbei,9.3e-05,4
AfD,masseneinwanderung,7.8e-05,5
AfD,geld bürger,7.3e-05,6
AfD,werten grün,7.3e-05,7
AfD,deutsch steuerzahler,7.2e-05,8
AfD,deutsch bürger,7.1e-05,9
AfD,abgelehnt,7e-05,10
AfD,link partei,7e-05,11
AfD,kernkraftwerk,7e-05,12
AfD,eigen bürger,6.7e-05,13
AfD,landsleute,6.7e-05,14
AfD,deutsch steuergeld,6.7e-05,15
AfD,klimawahn,6.4e-05,16
AfD,offen grenze,6.4e-05,17
AfD,sonderschuld,6.2e-05,18
AfD,illegal migrant,6.1e-05,19
AfD,million bürger,6.1e-05,20
AfD,kernenergie,6e-05,21
AfD,bürger draußen,5.8e-05,22
AfD,links-grüne,5.5e-05,23
AfD,charlie kirk,5.5e-05,24
AfD,demografisch katastrophe,5.4e-05,25
AfD,interesse bürger,5.4e-05,26
AfD,carolin wagner,5.4e-05,27
AfD,sogenannt energiewende,5.4e-05,28
AfD,abgelehnt asylbewerber,5.4e-05,29
AfD,zitat zitat,5.4e-05,30
AfD,altpartei,5.4e-05,31
AfD,sogenannt erneuerbar,5.1e-05,32
AfD,zweit wahl,5.1e-05,33
AfD,politik bürger,5.1e-05,34
AfD,kernkraft,5.1e-05,35
AfD,merz-regierung,5.1e-05,36
AfD,eigen volk,5.1e-05,37
AfD,weltdümmst,4.8e-05,38
AfD,grün ideologie,4.8e-05,39
AfD,deutschland bürger,4.8e-05,40
AfD,holger mann,4.8e-05,41
AfD,lassen grüßen,4.8e-05,42
AfD,wahl versprechen,4.8e-05,43
AfD,ideologisch projekt,4.8e-05,44
AfD,planwirtschaftlich,4.7e-05,45
AfD,asylante,4.5e-05,46
AfD,klimahysterie,4.5e-05,47
AfD,klimarettung,4.5e-05,48
AfD,klimasekte,4.5e-05,49
AfD,million wähler,4.5e-05,50
AfD,deutschland fordern,4.5e-05,51
AfD,nächst wahl,4.5e-05,52
AfD,isabel cademartori,4.5e-05,53
AfD,freiheit statt,4.5e-05,54
AfD,deutsch mann,4.5e-05,55
AfD,afd regierungsverantwortung,4.5e-05,56
AfD,afghane deutschland,4.5e-05,57
AfD,woken,4.4e-05,58
AfD,energiesteuer,4.4e-05,59
AfD,parallelgesellschaft,4.2e-05,60
AfD,helmut schmidt,4.2e-05,61
AfD,schuldenkoalition,4.2e-05,62
AfD,deindustrialisieren,4.2e-05,63
AfD,kanzler zweit,4.2e-05,64
AfD,stehen alternativ,4.2e-05,65
AfD,illegal massenmigration,4.2e-05,66
AfD,sogenannt klimaschutz,4.2e-05,67
AfD,gegenüber bürger,4.2e-05,68
AfD,echt migrationswende,4.2e-05,69
AfD,maja wallstein,4.2e-05,70
AfD,rot grün,4.2e-05,71
AfD,abgewählt,4e-05,72
AfD,klimaideologie,4e-05,73
AfD,steuergeldverschwendung,3.8e-05,74
AfD,dämmwahn,3.8e-05,75
AfD,links-grüner,3.8e-05,76
AfD,politik offen,3.8e-05,77
AfD,energiepreis welt,3.8e-05,78
AfD,weltdümmst energiepolitik,3.8e-05,79
AfD,wort bürger,3.8e-05,80
AfD,anja troff-schaffarzyk,3.8e-05,81
AfD,landsleute selbstverständlich,3.8e-05,82
AfD,selbstverständlich werten,3.8e-05,83
AfD,sozialismus,3.8e-05,84
AfD,ökosozialistisch,3.6e-05,85
AfD,schuldenorgie,3.6e-05,86
AfD,partei deutschland,3.6e-05,87
AfD,all bürger,3.6e-05,88
AfD,marktwirtschaftlich,3.5e-05,89
AfD,merkel-regierung,3.5e-05,90
AfD,migrationskrise,3.5e-05,91
AfD,alimentierung,3.5e-05,92
AfD,wehrmaterial,3.5e-05,93
AfD,genderprojekt,3.5e-05,94
AfD,interesse eigen,3.5e-05,95
AfD,derya türk-nachbaur,3.5e-05,96
AfD,land volk,3.5e-05,97
AfD,ehrlich preis,3.5e-05,98
AfD,direkt demokratie,3.5e-05,99
AfD,deutschland alternativ,3.5e-05,100
BÜNDNIS 90/­DIE GRÜNEN,debatte link,9.6e-05,1
