politician_id,name,party,x,y
78869,Ursula Groden-Kranich,CDU/CSU,4.760011,-1.675268
175585,Johannes F. Kretschmann,BÜNDNIS 90/­DIE GRÜNEN,-0.2096118,-8.16832
175520,Lucia Schanbacher,SPD,-0.22252136,-8.468523
79255,Uwe Kekeritz,BÜNDNIS 90/­DIE GRÜNEN,-2.3387802,-3.623407
175752,Julian Simon Grünke,FDP,-0.40405476,0.066426545
175942,Manfred Schiller,AfD,1.1752658,2.527939
122121,Volker Münz,AfD,1.0468478,2.3843117
147459,Fabian Griewel,FDP,-0.2858379,-0.028407648
78922,Ingo Wellenreuther,CDU/CSU,6.0086594,-1.2761133
175432,Heike Heubach,SPD,-4.260854,-8.963156
146135,Jörg Cezanne,Die Linke.,-3.1094785,1.2472624
180762,Angela Hohmann,SPD,-4.332246,-9.167858
145961,Franziska Krumwiede-Steiner,BÜNDNIS 90/­DIE GRÜNEN,-4.197922,-8.849363
175589,Jürgen Kretz,BÜNDNIS 90/­DIE GRÜNEN,-3.7828257,-8.824041
175477,Nadine Ruf,SPD,-3.8544478,-9.118006
145886,Bettina Wiesmann,CDU/CSU,10.9569645,-2.6537242
145889,Astrid Mannes,CDU/CSU,11.611701,-2.8215463
79073,Martin Rabanus,SPD,-3.9720848,-9.5489435
136239,Ottmar von Holtz,BÜNDNIS 90/­DIE GRÜNEN,-4.1224484,-9.789294
79254,Stefan Kaufmann,CDU/CSU,11.662851,-2.5767372
79095,Ingrid Pahlmann,CDU/CSU,11.081625,-2.6852858
170200,Tim Wagner,FDP,0.11525332,-0.026764175
118231,Christian Bartelt,FDP,-0.5559006,-0.573294
146323,Katharina Willkomm,FDP,-0.55841595,-0.6615463
175827,Alexander Föhr,CDU/CSU,14.444106,-2.5693915
165158,Rainer Rothfuß,AfD,0.30388066,3.1453173
145860,Melanie Bernstein,CDU/CSU,6.0052586,-0.36589965
175420,Dirk-Ulrich Mende,SPD,0.8119446,-6.166712
179603,Emily Vontz,SPD,-1.4357479,-3.1048133
175390,Alexander Bartz,SPD,4.2011333,-27.297081
146806,Daniel Rinkert,SPD,-6.9805703,-21.130623
158872,Nils Gründer,FDP,-0.7285282,-0.81661224
147377,Michael Sacher,BÜNDNIS 90/­DIE GRÜNEN,3.4565847,-22.535725
79415,Daniela De Ridder,SPD,-6.439175,-18.35623
175334,Clara Bünger,Die Linke.,-3.5030503,1.7938666
175709,Claudia Raffelhüschen,FDP,-0.71925503,-0.79823154
78863,Jürgen Hardt,CDU/CSU,15.252358,-2.7069654
78936,Beate Walter-Rosenheimer,BÜNDNIS 90/­DIE GRÜNEN,-0.6179044,-2.0092535
138540,Markus Uhl,CDU/CSU,14.579584,-2.5997133
79011,Nadine Schön,CDU/CSU,15.058034,-2.5814183
146018,Sascha Müller,BÜNDNIS 90/­DIE GRÜNEN,-5.005138,-21.952549
79000,Andreas Schwarz,SPD,-1.0170989,-2.0242481
79097,Aydan Özoğuz,SPD,4.2859497,-26.431988
