politician_id,name,party,occupation,year_of_birth,field_title,sex,education,x,y
184332,Mayra Vriesema,BÜNDNIS 90/­DIE GRÜNEN,,1999.0,,f,Politikwissenschaftlerin,-5.818895,4.399268
183275,Lisa Schubert,Die Linke,Student*in Sozialwissenschaften,2002.0,,d,,-9.192302,4.222127
182187,Andrea Lübcke,BÜNDNIS 90/­DIE GRÜNEN,Wissenschaftsbasierte Politikberatung,1978.0,Dr.,f,Physikerin,-6.0140085,4.6561446
182836,Reza Asghari,CDU/CSU,Professor,1961.0,,m,Doktor der Wirtschaftswissenschaften,5.4226117,3.6679847
79014,Carsten Schneider,SPD,"MdB, Parlamentsgeschäftsführer im Bundestag",1976.0,,m,Bankkaufmann,5.2644434,3.451289
175896,Alexis Giersch,AfD,Kanalsteuerer a.D.,,,m,,0.8408748,-8.569597
79097,Aydan Özoğuz,SPD,MdB,,,f,,5.3375926,3.59836
78834,Mahmut Özdemir,SPD,"Rechtsreferendar (beurlaubt), MdB",1987.0,,m,,5.269232,3.560465
66563,Cansu Özdemir,Die Linke,MdHB & Studentin,1988.0,,f,,-10.167083,4.703352
175403,Armand Zorn,SPD,MdB,1988.0,,m,"Politologe, Ökonom und Wirtschaftsjurist",5.0758376,3.4566367
178590,Ulrich von Zons,AfD,Rechtsanwalt & Fraktionsmitarbeiter,1968.0,,m,Volljurist,0.61026084,-7.760385
182827,Vanessa-Kim Zobel,CDU/CSU,Bankkauffrau,1988.0,,f,Wirtschaftsfachwirtin (IHK geprüft),5.1345363,3.4921665
183503,Jörg Zirwes,AfD,Kreis-und Fraktionsvorsitzender AfD Cochem-Zell,1968.0,,m,Berufssoldat a.D.,0.7472487,-7.862778
175876,Nicolas Zippelius,CDU/CSU,MdB,1987.0,,m,Bachelor Politik- und Rechtswissenschaften,2.9495583,2.1428776
175914,Diana Zimmer,AfD,Controllerin,1998.0,,f,Betriebswirtin (B.Sc.),0.7113372,-8.013575
78902,Stefan Zierke,SPD,MdB,1970.0,,m,Werkzeugmacher Reiseverkehrskaufmann und Tourismusfachwirt,5.0897403,3.4805593
145878,Paul Ziemiak,CDU/CSU,MdB,1985.0,,m,,5.116335,3.4729946
145732,Kay-Uwe Ziegler,AfD,MdB,1963.0,,m,Veterinäringenieur,1.0124851,-8.379258
78904,Emmi Zeulner,CDU/CSU,MdB,1987.0,,f,Examinierte Gesundheits- und Krankenpflegerin,5.028448,3.3823442
183257,Anne Zerr,Die Linke,Gewerkschaftssekretärin,1993.0,,f,,-9.490514,4.0705047
178558,Daniel Zerbin,AfD,Professor für Kriminalwissenschaften,,,m,,0.55516857,-7.8840985
178644,Christian Zaum,AfD,Lehrer,1969.0,,m,1. und 2. Staatsexamen für Lehramt Gymnasium,0.6872448,-8.031937
130692,Serdar Yüksel,SPD,,1973.0,,m,,5.129971,3.4776185
149653,Mareike Lotte Wulf,CDU/CSU,Geschäftsführerin Bereich Bildung bei den Unternehmerverbänden Niedersachsen (UVN),1979.0,,f,Diplom Sozialwissenschaftlerin,5.1815434,3.499266
66277,Alexander Wolf,AfD,"MdHB, Rechtsanwalt",1967.0,,m,Volljurist,0.6884707,-8.084464
135302,Janine Wissler,Die Linke,MdB,1981.0,,f,Dipl. Politologin,-9.763549,4.3686423
133683,Mechthilde Wittmann,CDU/CSU,MdB,1967.0,,f,"Bankkauffrau, Studium BWL, Jura und Maschinenbau",5.173296,3.5537763
150296,Christian Wirth,AfD,MdB,1963.0,Dr.,m,Rechtsanwalt,0.69748574,-7.9171658
146013,Tina Winklmann,BÜNDNIS 90/­DIE GRÜNEN,MdB,1980.0,,f,Verfahrensmechanikerin für Kunststoff- und Kautschuktechnik,-5.535883,4.905517
142259,Tobias Winkler,CDU/CSU,MdB,1978.0,,m,Dipl. sc. pol. Univ.,5.0084248,3.4827368
78916,Elisabeth Winkelmeier-Becker,CDU/CSU,MdB,1962.0,,f,"Studium der Rechtswissenschaften, Richterin am Amtsgericht a.D.",5.143183,3.4835038
182855,Johannes Winkel,CDU/CSU,,,,m,,2.284522,1.6884766
78914,Klaus-Peter Willsch,CDU/CSU,MdB,1961.0,,m,Dipl. Volkswirt,5.1085877,3.4976757
182209,Christin Willnat,Die Linke,Übersetzerin und Integrationshelferin,1986.0,,f,,-6.679228,6.742523
78913,Dirk Wiese,SPD,Bundestagsabgeordneter,1983.0,,m,Jurist,5.135343,3.492359
175862,Klaus Wiener,CDU/CSU,MdB,1962.0,Dr.,m,"Ausbildung zum Energieanlagenelektroniker, Studium und Promotion im Fach Volkswirtschaftslehre",4.9903746,3.4173412
145806,Wolfgang Wiehle,AfD,Bundestagsabgeordneter,1964.0,,m,Diplom-Informatiker,0.61889493,-7.562264
175895,Johannes Wiegelmann,CDU/CSU,Rechtsanwalt,1993.0,,m,Volljurist,2.8145654,2.1980453
78817,Kai Whittaker,CDU/CSU,MdB,1985.0,,m,,5.071469,3.4633405
175968,Sven Wendorf,AfD,Verwaltungsfachangestellter,1972.0,,m,Verwaltungsfachangestellter,0.67775834,-8.04281
175867,Maria-Lena Weiss,CDU/CSU,MdB,1981.0,Dr.,f,Juristin,4.970709,3.5250957
175015,Claudia Weiss,AfD,"Referentin für Arbeit, Gesundheit, Soziales und Gleichstellung",1975.0,,f,Pflegedienstleiterin,0.47345293,-8.344306
78919,Anja Weisgerber,CDU/CSU,MdB,1976.0,,f,Rechtsanwältin,5.1330137,3.5257065
175947,Mathias Weiser,AfD,kaufmännischer Leiter,1986.0,,m,M.A.,0.690707,-7.9749885
108379,Alice Weidel,AfD,"MdB, Fraktionsvorsitzende AfD im Bundestag",1979.0,,f,Volkswirtin,1.4661635,-7.7672486
175409,Carmen Wegge,SPD,MdB,1989.0,,f,Juristin,5.1088195,3.5087802
78805,Nina Warken,CDU/CSU,MdB,1979.0,,f,Rechtsanwältin,5.1534095,3.4651682
165836,Daniel Walter,SPD,,1991.0,,m,LL.M. European Law,5.110112,3.508718
175464,Maja Wallstein,SPD,MdB,1986.0,,f,,3.6131315,3.8563623
182890,Siegfried Walch,CDU/CSU,Landrat,1984.0,,m,,5.126523,3.5018437
175309,Sascha Wagner,Die Linke,Angestellter Fraktionsgeschäftsführer,1980.0,,m,,-8.61555,5.831162
175584,Johannes Wagner,BÜNDNIS 90/­DIE GRÜNEN,Arzt in Weiterbildung zum Kinderarzt,1991.0,,m,Humanmediziner,-5.4877663,4.775362
175410,Carolin Wagner,SPD,MdB,1982.0,Dr.,f,Germanistin,2.7492263,2.240563
145969,Robin Wagener,BÜNDNIS 90/­DIE GRÜNEN,MdB,1980.0,,m,Jurist,-5.5301695,4.987033
146020,Niklas Wagener,BÜNDNIS 90/­DIE GRÜNEN,Student,1998.0,,m,Forstwirtschaft,-5.5620356,4.9359007
78818,Johann Wadephul,CDU/CSU,MdB,1963.0,Dr.,m,Jurist,5.073729,3.4340599
78938,Dirk Vöpel,SPD,MdB,1971.0,,m,,5.104477,3.4966154
146784,Marja-Liisa Völlers,SPD,MdB,1984.0,,f,,5.0679235,3.3808658
66002,Christoph de Vries,CDU/CSU,MdB,1974.0,,m,Diplom-Soziologe,5.3844686,3.6451273
183219,Sarah Vollath,Die Linke,Leitung oGts,1995.0,,f,Sozialarbeiterin,-8.915193,6.16229
182876,Johannes Volkmann,CDU/CSU,Büroleiter von MdEP Dr. Sven Simon,,,m,M.Sc. in Contemporary Chinese Studies,2.7766392,2.1131248
170273,Donata Vogtschmidt,Die Linke,,1998.0,,f,Staatswissenschaftlerin,-8.994819,6.0776553
145876,Oliver Vogt,CDU/CSU,MdB,1977.0,Dr.,m,Diplom-Physiker,5.135388,3.5080912
182935,Ingo Vogel,SPD,,,,m,,5.170722,3.495792
145877,Kerstin Vieregge,CDU/CSU,MdB,1976.0,,f,Betriebswirtin,5.0964975,3.502397
78944,Julia Verlinden,BÜNDNIS 90/­DIE GRÜNEN,"Mitglied des Bundestags, stellvertretende Fraktionsvorsitzende von Bündnis 90/Die Grünen",1979.0,Dr.,f,Diplom Umweltwissenschaften & Promotion,-5.5091214,4.9008374
31073,Isabelle Vandre,Die Linke,,1989.0,,f,Politikwissenschaftlerin,-8.995982,6.233836
183231,Aaron Valent,Die Linke,,1997.0,,m,Auszubildender,-8.558295,5.871262
