politician_id,name,party,x,y
184332,Mayra Vriesema,BÜNDNIS 90/­DIE GRÜNEN,13.538669,-7.2138624
183275,Lisa Schubert,Die Linke,16.613045,3.1955936
182187,Andrea Lübcke,BÜNDNIS 90/­DIE GRÜNEN,13.243058,-6.5527096
182836,Reza Asghari,CDU/CSU,0.14397286,12.834379
79014,Carsten Schneider,SPD,7.649905,11.516304
175896,Alexis Giersch,AfD,0.018887678,-7.8606696
79097,Aydan Özoğuz,SPD,3.2382782,13.704244
78834,Mahmut Özdemir,SPD,3.3219388,12.164898
66563,Cansu Özdemir,Die Linke,15.529178,3.060468
175403,Armand Zorn,SPD,7.8694024,11.680943
178590,Ulrich von Zons,AfD,-2.572555,-5.545052
182827,Vanessa-Kim Zobel,CDU/CSU,8.192496,11.945276
183503,Jörg Zirwes,AfD,-1.9118468,-5.3062663
175876,Nicolas Zippelius,CDU/CSU,9.248719,10.792165
175914,Diana Zimmer,AfD,-2.5028548,-5.4770346
78902,Stefan Zierke,SPD,8.23724,11.64104
145878,Paul Ziemiak,CDU/CSU,8.423814,11.9348135
145732,Kay-Uwe Ziegler,AfD,7.7910724,-14.828556
78904,Emmi Zeulner,CDU/CSU,6.985001,11.681264
183257,Anne Zerr,Die Linke,16.961025,3.5573335
178558,Daniel Zerbin,AfD,-2.51885,-5.381789
178644,Christian Zaum,AfD,-1.7968642,-5.1330347
130692,Serdar Yüksel,SPD,7.2729354,11.48158
149653,Mareike Lotte Wulf,CDU/CSU,6.955775,11.610174
66277,Alexander Wolf,AfD,-2.2224364,-5.3443
135302,Janine Wissler,Die Linke,16.248692,3.0960763
133683,Mechthilde Wittmann,CDU/CSU,8.667461,11.033119
150296,Christian Wirth,AfD,-2.573245,-5.5747833
146013,Tina Winklmann,BÜNDNIS 90/­DIE GRÜNEN,13.46142,-6.8088355
142259,Tobias Winkler,CDU/CSU,6.76,12.087945
78916,Elisabeth Winkelmeier-Becker,CDU/CSU,7.649642,11.166785
182855,Johannes Winkel,CDU/CSU,9.418339,11.239797
78914,Klaus-Peter Willsch,CDU/CSU,6.685469,12.209409
182209,Christin Willnat,Die Linke,17.08174,3.6688938
78913,Dirk Wiese,SPD,8.956834,10.867181
175862,Klaus Wiener,CDU/CSU,7.5733476,10.85558
145806,Wolfgang Wiehle,AfD,-2.0198069,-5.126489
175895,Johannes Wiegelmann,CDU/CSU,9.384674,11.142946
78817,Kai Whittaker,CDU/CSU,8.8442,10.497064
175968,Sven Wendorf,AfD,-1.7129523,-5.3097396
175867,Maria-Lena Weiss,CDU/CSU,8.95029,10.834896
175015,Claudia Weiss,AfD,-3.280193,-3.758279
78919,Anja Weisgerber,CDU/CSU,8.962187,10.852787
175947,Mathias Weiser,AfD,-2.4387765,-5.4367623
108379,Alice Weidel,AfD,-2.4063578,-5.3648467
175409,Carmen Wegge,SPD,6.8277655,12.108778
78805,Nina Warken,CDU/CSU,7.9294662,11.120757
165836,Daniel Walter,SPD,6.911056,11.560173
175464,Maja Wallstein,SPD,8.901163,10.916122
182890,Siegfried Walch,CDU/CSU,7.4583254,11.658333
175309,Sascha Wagner,Die Linke,17.069098,3.6588047
